,acisw_003,,,bresee_000,,intellifusion_002,,,shaman_000,,,yitu_003,
0.0007,0.0032,,0.0006,0.0043,,0.0008 0.0011,,0.0003,0.0032,,0.0003,0.0030,
0.0135,0.0006,,0.0136,0.0005,,0.0137 0.0009,,0.0137,0.0003,,0.0137,0.0004,
,alchera_001,,,ailabs_001,,kedacom_000,,,fujitsulab_001,,,kneron_003,
,0.0001,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0004,0.0010,,0.0002,0.0010
,0.0021,0.0001,,0.0020,0.0002,0.0024,0.0002,,0.0049,0.0003,,0.0018,0.0002
0.0005,0.0031,,0.0007,0.0035,,0.0005 0.0032,,0.0007,0.0019,,0.0008,0.0037,
0.0138,0.0005,,0.0139,0.0007,,0.0139 0.0005,,0.0139,0.0006,,0.0141,0.0007,
,videmo_000,,,incode_006,,tevian_005,,,eocortex_000,,,alchera_000,
,0.0002,0.0010,,0.0001,0.0010,0.0004,0.0010,,0.0003,0.0010,,0.0001,0.0010
,0.0023,0.0002,,0.0018,0.0001,0.0080,0.0003,,0.0026,0.0003,,0.0019,0.0001
0.0008,0.0035,,0.0004,0.0026,,0.0004 0.0023,,0.0014,0.0058,,0.0007,0.0032,
0.0141,0.0007,,0.0144,0.0004,,0.0144 0.0004,,0.0145,0.0013,,0.0145,0.0006,
,imagus_001,,,tiger_003,,aimall_002,,,siat_002,,,tevian_006,
,0.0001,0.0010,,0.0002,0.0010,0.0001,0.0010,,0.0002,0.0010,,0.0003,0.0010
,0.0019,0.0001,,0.0035,0.0002,0.0030,0.0001,,0.0055,0.0002,,0.0079,0.0003
0.0005,0.0030,,0.0006,0.0028,,0.0004 0.0031,,0.0004,0.0028,,0.0003,0.0020,
0.0146,0.0005,,0.0149,0.0006,,0.0150 0.0003,,0.0150,0.0004,,0.0152,0.0003,
,anyvision_002,,,ayftech_001,,anke_005,,,scanovate_001,,,everai_paravision_003,
,0.0002,0.0010,,0.0003,0.0010,0.0002,0.0010,,0.0003,0.0010,,0.0002,0.0010
,0.0031,0.0001,,0.0072,0.0002,0.0022,0.0001,,0.0033,0.0003,,0.0033,0.0002
0.0004,0.0025,,0.0003,0.0029,,0.0007 0.0044,,0.0007,0.0033,,0.0007,0.0029,
0.0155,0.0004,,0.0157,0.0003,,0.0158 0.0007,,0.0160,0.0007,,0.0162,0.0007,
,lookman_002,,,uluface_003,,pensees_001,,,megvii_002,,,intellivision_002,
,0.0003,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0002,0.0010,,0.0002,0.0010
,0.0057,0.0002,,0.0025,0.0001,0.0025,0.0002,,0.0052,0.0002,,0.0034,0.0002
0.0005,0.0032,,0.0006,0.0033,,0.0007 0.0032,,0.0005,0.0067,,0.0008,0.0037,
0.0163,0.0005,,0.0165,0.0005,,0.0167 0.0007,,0.0170,0.0005,,0.0180,0.0008,
,trueface_001,,,isityou_000,,synesis_007,,,hr_002,,,intellivision_001,
,0.0001,0.0010,,0.0010,0.0010,0.0002,0.0010,,0.0003,0.0010,,0.0003,0.0010
,0.0020,0.0001,,0.0265,0.0008,0.0034,0.0002,,0.0055,0.0003,,0.0034,0.0003
0.0005,0.0030,,0.0003,0.0007,,0.0004 0.0023,,0.0008,0.0033,,0.0010,0.0036,
0.0180,0.0004,,0.0180,0.0003,,0.0183 0.0004,,0.0188,0.0008,,0.0196,0.0011,
,meiya_001,,,sertis_000,,veridas_004,,,cyberextruder_002,,,digitalbarriers_002,
,0.0002,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0003,0.0010,,0.0002,0.0010
